cod_scuola,anno_corso,scuola,regione,nazionale
AGMM004008,1,0.0,0.4,0.2
AGMM004008,2,0.0,0.4,0.1
AGMM004008,3,0.0,0.4,0.2
AGMM01500P,1,0.0,0.4,0.2
AGMM01500P,2,0.0,0.4,0.1
AGMM01500P,3,0.0,0.4,0.2
AGMM03800B,1,1.3,0.4,0.2
AGMM03800B,2,0.0,0.4,0.1
AGMM03800B,3,0.0,0.4,0.2
AGMM054009,1,0.0,0.4,0.2
AGMM054009,2,0.0,0.4,0.1
AGMM054009,3,0.0,0.4,0.2
AGMM06700B,1,2.1,0.4,0.2
AGMM06700B,2,0.7,0.4,0.1
AGMM06700B,3,1.3,0.4,0.2
AGMM07200V,1,2.3,0.4,0.2
AGMM07200V,2,1.1,0.4,0.1
AGMM07200V,3,2.7,0.4,0.2
AGMM805014,1,0.0,0.4,0.2
AGMM805014,2,0.0,0.4,0.1
AGMM805014,3,0.0,0.4,0.2
AGMM805025,1,,0.4,0.2
AGMM805025,2,0.0,0.4,0.1
AGMM805025,3,0.0,0.4,0.2
AGMM80601X,1,0.0,0.4,0.2
AGMM80601X,2,0.0,0.4,0.1
AGMM80601X,3,0.0,0.4,0.2
AGMM80701Q,1,0.0,0.4,0.2
AGMM80701Q,2,0.0,0.4,0.1
AGMM80701Q,3,0.0,0.4,0.2
AGMM80702R,1,0.0,0.4,0.2
AGMM80702R,2,0.0,0.4,0.1
AGMM80702R,3,0.0,0.4,0.2
AGMM80801G,1,0.0,0.4,0.2
AGMM80801G,2,0.0,0.4,0.1
AGMM80801G,3,0.0,0.4,0.2
AGMM80901B,1,0.0,0.4,0.2
AGMM80901B,2,0.0,0.4,0.1
AGMM80901B,3,0.0,0.4,0.2
AGMM81001G,1,7.6,0.4,0.2
AGMM81001G,2,4.6,0.4,0.1
AGMM81001G,3,6.1,0.4,0.2
AGMM81002L,1,0.0,0.4,0.2
AGMM81002L,2,0.0,0.4,0.1
AGMM81002L,3,0.0,0.4,0.2
AGMM812017,1,0.0,0.4,0.2
AGMM812017,2,0.0,0.4,0.1
AGMM812017,3,0.0,0.4,0.2
AGMM812028,1,0.0,0.4,0.2
AGMM812028,2,0.0,0.4,0.1
AGMM812028,3,0.0,0.4,0.2
AGMM813013,1,0.0,0.4,0.2
AGMM813013,2,0.0,0.4,0.1
AGMM813013,3,0.0,0.4,0.2
AGMM81401V,1,0.0,0.4,0.2
AGMM81401V,2,0.0,0.4,0.1
AGMM81401V,3,0.0,0.4,0.2
AGMM81501P,1,0.0,0.4,0.2
AGMM81501P,2,0.0,0.4,0.1
AGMM81501P,3,0.0,0.4,0.2
AGMM81701A,1,0.0,0.4,0.2
AGMM81701A,2,0.0,0.4,0.1
AGMM81701A,3,0.0,0.4,0.2
AGMM818016,1,0.0,0.4,0.2
AGMM818016,2,0.0,0.4,0.1
AGMM818016,3,0.0,0.4,0.2
AGMM819012,1,2.1,0.4,0.2
AGMM819012,2,3.7,0.4,0.1
AGMM819012,3,1.7,0.4,0.2
AGMM820016,1,0.0,0.4,0.2
AGMM820016,2,0.0,0.4,0.1
AGMM820016,3,0.0,0.4,0.2
AGMM821012,1,0.0,0.4,0.2
AGMM821012,2,0.0,0.4,0.1
AGMM821012,3,0.0,0.4,0.2
AGMM82201T,1,0.0,0.4,0.2
AGMM82201T,2,0.0,0.4,0.1
AGMM82201T,3,0.0,0.4,0.2
AGMM82301N,1,0.0,0.4,0.2
AGMM82301N,2,0.0,0.4,0.1
AGMM82301N,3,0.0,0.4,0.2
AGMM82302P,1,0.0,0.4,0.2
AGMM82302P,2,0.0,0.4,0.1
AGMM82302P,3,0.0,0.4,0.2
AGMM82401D,1,1.1,0.4,0.2
AGMM82401D,2,1.4,0.4,0.1
AGMM82401D,3,2.7,0.4,0.2
AGMM825019,1,0.0,0.4,0.2
AGMM825019,2,0.0,0.4,0.1
AGMM825019,3,0.0,0.4,0.2
AGMM826015,1,0.0,0.4,0.2
AGMM826015,2,0.0,0.4,0.1
AGMM826015,3,0.0,0.4,0.2
AGMM826026,1,0.0,0.4,0.2
AGMM826026,2,0.0,0.4,0.1
AGMM826026,3,0.0,0.4,0.2
AGMM826037,1,0.0,0.4,0.2
AGMM826037,2,0.0,0.4,0.1
AGMM826037,3,0.0,0.4,0.2
AGMM827011,1,0.0,0.4,0.2
AGMM827011,2,0.0,0.4,0.1
AGMM827011,3,0.0,0.4,0.2
AGMM82801R,1,0.7,0.4,0.2
AGMM82801R,2,0.0,0.4,0.1
AGMM82801R,3,0.0,0.4,0.2
AGMM82901L,1,0.0,0.4,0.2
AGMM82901L,2,0.0,0.4,0.1
AGMM82901L,3,0.0,0.4,0.2
AGMM83001R,1,0.0,0.4,0.2
AGMM83001R,2,0.0,0.4,0.1
AGMM83001R,3,0.0,0.4,0.2
AGMM83101L,1,0.0,0.4,0.2
AGMM83101L,2,0.0,0.4,0.1
AGMM83101L,3,0.0,0.4,0.2
AGMM83201C,1,0.0,0.4,0.2
AGMM83201C,2,0.0,0.4,0.1
AGMM83201C,3,0.0,0.4,0.2
AGMM833018,1,0.0,0.4,0.2
AGMM833018,2,0.0,0.4,0.1
AGMM833018,3,0.0,0.4,0.2
AGMM834014,1,0.0,0.4,0.2
AGMM834014,2,0.0,0.4,0.1
AGMM834014,3,0.0,0.4,0.2
AGMM83501X,1,0.0,0.4,0.2
AGMM83501X,2,0.0,0.4,0.1
AGMM83501X,3,0.0,0.4,0.2
AGMM83601Q,1,0.0,0.4,0.2
AGMM83601Q,2,0.0,0.4,0.1
AGMM83601Q,3,0.0,0.4,0.2
AGMM83701G,1,0.0,0.4,0.2
AGMM83701G,2,0.0,0.4,0.1
AGMM83701G,3,0.0,0.4,0.2
AGMM83702L,1,0.0,0.4,0.2
AGMM83702L,2,0.0,0.4,0.1
AGMM83702L,3,0.0,0.4,0.2
AGMM83801B,1,0.0,0.4,0.2
AGMM83801B,2,0.9,0.4,0.1
AGMM83801B,3,1.4,0.4,0.2
AGMM839017,1,6.9,0.4,0.2
AGMM839017,2,3.6,0.4,0.1
AGMM839017,3,2.6,0.4,0.2
AGMM84001B,1,0.0,0.4,0.2
AGMM84001B,2,0.0,0.4,0.1
AGMM84001B,3,0.0,0.4,0.2
AGMM841017,1,0.7,0.4,0.2
AGMM841017,2,0.0,0.4,0.1
AGMM841017,3,0.0,0.4,0.2
AGMM842013,1,0.0,0.4,0.2
AGMM842013,2,0.0,0.4,0.1
AGMM842013,3,0.0,0.4,0.2
AGMM842024,1,0.0,0.4,0.2
AGMM842024,2,0.0,0.4,0.1
AGMM842024,3,0.0,0.4,0.2
AGMM84301V,1,0.0,0.4,0.2
AGMM84301V,2,0.0,0.4,0.1
AGMM84301V,3,0.0,0.4,0.2
AGMM84401P,1,0.0,0.4,0.2
AGMM84401P,2,0.0,0.4,0.1
AGMM84401P,3,0.0,0.4,0.2
AGMM84501E,1,0.0,0.4,0.2
AGMM84501E,2,0.9,0.4,0.1
AGMM84501E,3,0.7,0.4,0.2
AGMM84601A,1,0.0,0.4,0.2
AGMM84601A,2,0.0,0.4,0.1
AGMM84601A,3,0.0,0.4,0.2
AGMM84602B,1,0.0,0.4,0.2
AGMM84602B,2,0.0,0.4,0.1
AGMM84602B,3,0.0,0.4,0.2
AGMM84603C,1,0.0,0.4,0.2
AGMM84603C,2,0.0,0.4,0.1
AGMM84603C,3,0.0,0.4,0.2
AGMM847016,1,0.0,0.4,0.2
AGMM847016,2,0.0,0.4,0.1
AGMM847016,3,0.0,0.4,0.2
AGMM848012,1,0.0,0.4,0.2
AGMM848012,2,0.0,0.4,0.1
AGMM848012,3,0.0,0.4,0.2
AGMM84901T,1,0.0,0.4,0.2
AGMM84901T,2,0.0,0.4,0.1
AGMM84901T,3,0.0,0.4,0.2
AGMM850012,1,0.0,0.4,0.2
AGMM850012,2,,0.4,0.1
AGMM850012,3,18.2,0.4,0.2
AGMM85101T,1,0.0,0.4,0.2
AGMM85101T,2,0.0,0.4,0.1
AGMM85101T,3,0.0,0.4,0.2
AGMM85201N,1,1.3,0.4,0.2
AGMM85201N,2,1.2,0.4,0.1
AGMM85201N,3,0.0,0.4,0.2
AGPC001017,1,0.0,1.1,0.3
AGPC001017,2,0.0,0.4,0.1
AGPC001017,3,0.0,0.4,0.2
AGPC001017,4,0.0,0.3,0.1
AGPC001017,5,0.0,0.2,0.1
AGPC008012,1,0.0,1.1,0.3
AGPC008012,2,0.0,0.4,0.1
AGPC008012,3,0.0,0.4,0.2
AGPC008012,4,0.0,0.3,0.1
AGPC008012,5,0.0,0.2,0.1
AGPC010001,1,0.0,1.1,0.3
AGPC010001,2,0.0,0.4,0.1
AGPC010001,3,0.0,0.4,0.2
AGPC010001,4,0.0,0.3,0.1
AGPC010001,5,0.0,0.2,0.1
AGPC02000G,1,0.0,1.1,0.3
AGPC02000G,2,0.0,0.4,0.1
AGPC02000G,3,0.0,0.4,0.2
AGPC02000G,4,0.0,0.3,0.1
AGPC02000G,5,0.0,0.2,0.1
AGPC060002,1,0.0,1.1,0.3
AGPC060002,2,0.0,0.4,0.1
AGPC060002,3,0.0,0.4,0.2
AGPC060002,4,0.0,0.3,0.1
AGPC060002,5,0.0,0.2,0.1
AGPM002017,1,0.0,1.1,0.3
AGPM002017,2,0.0,0.4,0.1
AGPM002017,3,0.0,0.4,0.2
AGPM002017,4,0.0,0.3,0.1
AGPM002017,5,0.0,0.2,0.1
AGPM010005,1,0.0,1.1,0.3
AGPM010005,2,0.0,0.4,0.1
AGPM010005,3,0.0,0.4,0.2
AGPM010005,4,0.0,0.3,0.1
AGPM010005,5,0.0,0.2,0.1
AGPM02000Q,1,0.0,1.1,0.3
AGPM02000Q,2,0.0,0.4,0.1
AGPM02000Q,3,0.0,0.4,0.2
AGPM02000Q,4,0.0,0.3,0.1
AGPM02000Q,5,0.0,0.2,0.1
AGPM03000A,1,0.0,1.1,0.3
AGPM03000A,2,0.0,0.4,0.1
AGPM03000A,3,0.0,0.4,0.2
AGPM03000A,4,0.0,0.3,0.1
AGPM03000A,5,0.0,0.2,0.1
AGPM060006,1,0.0,1.1,0.3
AGPM060006,2,0.0,0.4,0.1
AGPM060006,3,0.0,0.4,0.2
AGPM060006,4,0.0,0.3,0.1
AGPM060006,5,0.0,0.2,0.1
AGPS00101A,1,0.0,1.1,0.3
AGPS00101A,2,0.0,0.4,0.1
AGPS00101A,3,0.0,0.4,0.2
AGPS00101A,4,0.0,0.3,0.1
AGPS00101A,5,0.0,0.2,0.1
AGPS002016,1,0.0,1.1,0.3
AGPS002016,2,0.0,0.4,0.1
AGPS002016,3,0.0,0.4,0.2
AGPS002016,4,0.0,0.3,0.1
AGPS002016,5,1.7,0.2,0.1
AGPS002027,1,0.0,1.1,0.3
AGPS002027,2,0.0,0.4,0.1
AGPS002027,3,0.0,0.4,0.2
AGPS002027,4,0.0,0.3,0.1
AGPS002027,5,0.0,0.2,0.1
AGPS008015,1,0.0,1.1,0.3
AGPS008015,2,0.0,0.4,0.1
AGPS008015,3,0.0,0.4,0.2
AGPS008015,4,0.0,0.3,0.1
AGPS008015,5,0.0,0.2,0.1
AGPS02000P,1,0.0,1.1,0.3
AGPS02000P,2,0.0,0.4,0.1
AGPS02000P,3,0.0,0.4,0.2
AGPS02000P,4,0.0,0.3,0.1
AGPS02000P,5,0.0,0.2,0.1
AGPS030009,1,0.0,1.1,0.3
AGPS030009,2,0.0,0.4,0.1
AGPS030009,3,0.0,0.4,0.2
AGPS030009,4,0.0,0.3,0.1
AGPS030009,5,0.0,0.2,0.1
AGPS05000E,1,0.0,1.1,0.3
AGPS05000E,2,0.0,0.4,0.1
AGPS05000E,3,0.0,0.4,0.2
